,name,population
477,Longview,82287
478,Bryan,82118
479,Westland,82000
480,Warwick,81699
481,Lakewood,81611
482,Farmington Hills,81330
483,San Tan Valley,81321
484,Mount Pleasant,81317
485,Cranston,81073
486,Largo,81000
487,South Suffolk,80690
488,Avondale,80684
489,Tustin,80583
490,Mountain View,80435
491,Napa,80434
492,Somerville,80318
493,Lawrence,80231
494,Melbourne,80127
495,Parma,79937
496,New Rochelle,79846
497,Lynchburg,79812
498,Medford,79805
499,Deerfield Beach,79768
500,Pleasanton,79510
501,Belmont Cragin,79159
502,Brooklyn Park,79149
503,Goodyear,79003
504,Kennewick,78896
505,Alameda,78630
506,Town 'n' Country,78442
507,Bellflower,78441
508,San Pedro,78405
509,Chino Hills,78309
510,Bloomington,78292
511,Alafaya,78113
512,Springdale,77859
513,North Hollywood,77848
514,Racine,77742
515,Hammond,77614
516,Milpitas,77604
517,Gary,77156
518,Scranton,77118
519,Baldwin Park,77071
520,Auburn,77006
521,Fishers,76794
522,Saint Joseph,76780
523,Pharr,76538
524,Upland,76443
525,Folsom,76375
526,Baytown,76335
527,San Ramon,76134
528,Camden,76119
529,Lake Charles,76070
530,Kalamazoo,76041
531,Arlington Heights,75926
532,Plymouth,75907
533,South Ozone Park,75878
534,Waterford,75737
535,Evanston,75527
536,Manteca,75448
537,Kendall,75371
538,Wyoming,75275
539,Loveland,75182
540,Cheektowaga,75178
541,Kings Bridge,75132
542,Perris,74971
543,Bethlehem,74892
544,Albany,74843
545,Schaumburg,74693
546,Gastonia,74543
547,Brownsville,74497
548,Union City,74494
549,Bolingbrook,74306
550,Iowa City,74220
551,Layton,74143
552,Missouri City,74139
553,Appleton,74139
554,Shelby,74099
555,Fort Myers,74013
556,Boynton Beach,73966
557,Jonesboro,73907
558,South Lawndale,73826
559,Logan Square,73702
560,Rapid City,73569
561,Warner Robins,73490
562,Rochester Hills,73424
563,Decatur,73254
564,Southfield,73156
565,Saint George,72897
566,New Britain,72808
567,Franklin,72639
568,Turlock,72292
569,Temple,72277
570,West Ridge,72211
571,Apple Valley,72174
572,Lynwood,71989
573,Waukesha,71970
574,Wilmington,71948
575,Canton,71885
576,Gulfport,71856
577,Pawtucket,71591
578,Lauderhill,71579
579,Rock Hill,71548
580,Silver Spring,71452
581,West Gulfport,71329
582,Flower Mound,71253
583,Bismarck,71167
584,Centreville,71135
585,Lafayette,71111
586,Passaic,71085
587,Riverview,71050
588,Redlands,71035
589,Missoula,71022
590,Rancho Cordova,71017
591,New Braunfels,70543
592,Cherry Hill,70475
593,Flagstaff,70320
594,Muncie,70087
595,Woodland Hills,70000
596,Mira Mesa,70000
597,Weston,69959
598,Frederick,69479
599,Pasco,69451
600,Pittsburg,69424
601,Ridgewood,69317
602,Palatine,69308
603,North Richland Hills,69204
604,Union City,69156
605,Kissimmee,69152
606,Walnut Creek,68910
607,Mount Vernon,68628
608,Conroe,68602
609,Dothan,68567
610,Northridge,68469
611,Waterloo,68460
612,Maple Grove,68385
613,Framingham,68318
614,Redondo Beach,68166
615,Bossier City,68094
616,Yorba Linda,67973
617,Woodbury,67855
618,Eau Claire,67778
619,Waldorf,67752
620,Forest Hills,67714
621,Davis,67666
622,Glen Burnie,67639
623,Camarillo,67608
624,Victoria,67574
625,Gaithersburg,67456
626,Jacksonville,67357
627,South San Francisco,67271
628,Kenner,67091
629,Jackson Heights,67067
630,Rockville,66980
631,Jackson,66975
632,Lincoln Park,66959
633,Yuba City,66941
634,Portland,66881
635,Palo Alto,66853
636,Casas Adobes,66795
637,Marysville,66773
638,South Jordan,66648
639,Oshkosh,66555
640,North Little Rock,66504
641,Homestead,66498
642,Bayside,66455
643,Bayonne,66311
644,Eagan,66286
645,Delray Beach,66255
646,Johnson City,66027
647,Dale City,65969
648,Cedar Park,65945
649,Parkchester,65876
650,Atascocita,65844
651,Saint Cloud,65842
652,Ellicott City,65834
653,Laguna Niguel,65806
654,Saint Charles,65794
655,Harlingen,65774
656,San Clemente,65526
657,West Lynchburg,65517
658,Middletown,65490
659,Framingham Center,65413
660,Schenectady,65305
661,Broomfield,65065
662,Ames,65060
663,Park Slope,65047
664,Shawnee,65046
665,Conway,64980
666,East Orange,64949
667,Portage Park,64841
668,Skokie,64821
669,Daytona Beach,64736
670,West Bloomfield Township,64690
671,Tamarac,64681
672,Youngstown,64628
673,Lodi,64596
674,Greenville,64579
675,Mansfield,64274
676,Santa Cruz,64220
677,Pico Rivera,64218
678,Madera,64208
679,Janesville,64123
680,West Des Moines,64113
681,Montebello,63921
682,Georgetown,63716
683,Alpharetta,63693
684,Lorain,63647
685,Bowling Green,63616
686,Flatlands,63601
687,Dundalk,63597
688,Eden Prairie,63496
689,North Bergen,63484
690,Florence-Graham,63387
691,Waltham,63378
692,Cheyenne,63335
693,West Hartford,63268
694,Rogers,63159
695,Carol City,63031
696,Encinitas,62930
697,East Village,62832
698,Haverhill,62765
699,Jupiter,62707
700,Council Bluffs,62597
701,Wellington,62560
702,West Coon Rapids,62528
703,North Miami,62435
704,Hamilton,62407
705,North Port,62345
706,Tulare,62315
707,Coon Rapids,62240
708,Millcreek,62139
709,La Habra,62131
710,Blaine,62124
711,Auburn,62059
712,Lake Elsinore,61981
713,Carmichael,61762
714,Taylor,61568
715,Burnsville,61481
716,Monterey Park,61468
717,Castro Valley,61388
718,Irvington,61323
719,Rocklin,61213
720,Utica,61100
721,Malden,61068
722,National City,61060
723,Financial District,60976
724,Springfield,60870
725,Bethesda,60858
726,Terre Haute,60825
727,Vineland,60818
728,West Hollywood,60806
729,San Marcos,60684
730,Brentwood,60664
731,Lakeville,60633
732,West Allis,60620
733,Redmond,60598
734,Canoga Park,60578
735,Cupertino,60572
736,Taylorsville,60514
737,Bristol,60452
738,Moore,60451
739,Gardena,60447
740,Petaluma,60438
741,Bensalem,60427
742,Grand Junction,60358
743,Casper,60285
744,Rowlett,60236
745,La Mesa,60089
746,Pine Hills,60076
747,Valley Glen,60000
748,Rancho Penasquitos,60000
749,Bensonhurst,60000
750,Coney Island,60000
751,Meriden,59988
752,Pontiac,59917
753,Port Orange,59866
754,Hamden,59847
755,Lakewood,59829
756,Fountainebleau,59764
757,Saint Clair Shores,59715
758,Springfield,59680
759,Great Falls,59638
760,Chapel Hill,59568
761,Canyon Country,59530
762,Huntington Park,59430
763,Lancaster,59339
764,Coconut Creek,59302
765,Idaho Falls,59184
766,San Rafael,59162
767,Noblesville,59093
768,Marietta,59067
769,Fairfield,59052
770,Owensboro,59042
771,Eastvale,59039
772,Royal Oak,59008
773,Brentwood,58968
774,Dubuque,58799
775,Brookline,58732
776,Novi,58723
777,Des Plaines,58677
778,Orland Park,58619
779,Bartlett,58579
780,Woodland,58567
781,Lehi,58486
782,White Plains,58459
783,Arcadia,58408
784,Reston,58404
785,Ocala,58218
786,Clay,58206
787,Central City,58161
788,South Vineland,58122
789,Sanford,58111
790,Bowie,58025
791,Kokomo,57995
792,Wayne,57915
793,Santee,57787
794,Dublin,57721
795,Palm Harbor,57439
796,Medford,57403
797,Midwest City,57249
798,Center City,57239
799,Margate,57234
800,South Whittier,57156
801,Tinley Park,57143
802,Pflugerville,57122
803,New Brunswick,57035
804,Grand Forks,57011
805,Fountain Valley,56987
806,North Hills,56946
807,Diamond Bar,56897
808,Taunton,56789
809,Oak Lawn,56781
810,Union,56771
811,Ankeny,56764
812,Chicopee,56741
813,Irving Park,56520
814,Berwyn,56368
815,Manhattan,56308
816,Kendale Lakes,56148
817,Smyrna,56146
818,Dearborn Heights,56145
819,Porterville,56058
820,Piscataway,56044
821,Doral,56035
822,Hendersonville,56018
823,Morningside Heights,55929
824,Rocky Mount,55806
825,Corvallis,55780
826,Valdosta,55724
827,Hanford,55659
828,Castle Rock,55591
829,Greenwood,55586
830,Chicago Lawn,55551
831,Hempstead,55547
832,Novato,55530
833,Kettering,55525
834,Bellevue,55510
835,Shoreline,55439
836,Decatur,55437
837,Paramount,55412
838,Port Arthur,55340
839,Abington,55310
840,Anderson,55305
841,Tamiami,55271
842,Towson,55197
843,North Chicopee,55179
844,Uptown,55137
845,Sarasota,55118
846,Cypress Hills,54944
847,West Haven,54927
848,Rosemead,54908
849,Edgewater,54873
850,Jackson,54856
851,Highland,54854
852,Mount Prospect,54747
853,Colton,54621
854,Encanto,54614
855,Carson City,54521
856,Pocatello,54441
857,Bradenton,54437
858,Rogers Park,54402
859,Weymouth,54395
860,Port Charlotte,54392
861,Normal,54373
862,Spring,54298
863,Allapattah,54289
864,Richland,54248
865,Euless,54219
866,Blue Springs,54148
867,East Pensacola Heights,54104
868,Hacienda Heights,54038
869,Ozone Park,53985
870,Briarwood,53877
871,Cathedral City,53826
872,Lakewood,53805
873,Elyria,53775
874,Wheaton,53715
875,Commerce City,53696
876,Hoboken,53635
877,Watsonville,53628
878,Lake Havasu City,53553
879,Revere,53422
880,West New York,53366
881,Yucaipa,53328
882,Gilroy,53231
883,Poinciana,53193
884,Pensacola,53193
885,Kingsport,53014
886,Levittown,52983
887,Palm Beach Gardens,52923
888,Milford,52759
889,Delano,52733
890,West Sacramento,52721
891,Huntersville,52704
892,Perth Amboy,52682
893,Sherman Oaks,52677
894,Southaven,52589
895,Saint Peters,52575
896,Harrisonburg,52538
897,Peabody,52504
898,Placentia,52495
899,Lenexa,52490
900,DeSoto,52486
901,Burlington,52472
902,South Hill,52431
903,Elkhart,52348
904,La Crosse,52306
905,Oak Park,52287
906,Florissant,52268
907,Sammamish,52253
908,Wakefield,52201
909,Albany,52175
910,Hoffman Estates,52138
911,Albany Park,52079
912,Glendora,52009
913,Queens Village,51919
914,Brookhaven,51910
915,Levittown,51881
916,Palm Desert,51869
917,Joplin,51818
918,Enid,51776
919,Bonita Springs,51704
920,Irondequoit,51692
921,Caldwell,51686
922,Minnetonka,51669
923,Pinellas Park,51617
924,Battle Creek,51589
925,Casa Grande,51460
926,South Shore,51451
927,Mott Haven,51450
928,The Villages,51442
929,Grand Island,51440
930,Grapevine,51404
931,Stratford,51384
932,Kentwood,51357
933,City of Milford (balance),51271
934,Tigard,51253
935,East Hartford,51252
936,Apple Valley,51221
937,Plainfield,51217
938,Leesburg,51209
939,Parsippany,51144
940,Coral Gables,51117
941,The Hammocks,51003
942,Buckeye,50876
943,Flagami,50834
944,Catalina Foothills,50796
945,Lakewood,50656
946,North La Crosse,50470
947,Burien,50467
948,Logan,50371
949,Olympia,50302
950,South Peabody,50293
951,Aliso Viejo,50195
952,Galveston,50180
953,Poway,50157
954,Edina,50138
955,Minnetonka Mills,50117
956,Stonecrest,50000
957,Cerritos,49975
958,Redford,49936
959,East Honolulu,49914
960,Troy,49906
961,Sunnyside,49833
962,Charleston,49736
963,Downers Grove,49732
964,Wharton,49732
965,Whitman,49732
966,Azusa,49690
967,Wilson,49643
968,Monroe,49598
969,Parker,49550
970,La Mirada,49520
971,Minot,49450
972,Aloha,49425
973,Saginaw,49347
974,Bedford,49337
975,Rancho Santa Margarita,49324
976,Cypress,49290
977,Murray,49250
978,Cuyahoga Falls,49146
979,Coeur d'Alene,49122
980,Bloomfield,49120
981,Harrisburg,49081
982,Rowland Heights,48993
983,Covina,48984
984,Stillwater,48967
985,Niagara Falls,48916
986,Collierville,48863
987,Summerville,48848
988,South Bel Air,48828
989,Sheboygan,48797
990,Middletown,48760
991,Aspen Hill,48759
992,Dunwoody,48733
993,Huntington,48638
994,Maricopa,48602
995,Roswell,48544
996,Cedar Hill,48507
997,East Brunswick,48495
998,East Lansing,48471
999,Apopka,48382
1000,Maspeth,48325
1001,Wheaton,48284
1002,Mishawaka,48261
1003,Portage,48177
1004,West Orange,48131
1005,McLean,48115
1006,Newark,47986
1007,Ceres,47963
1008,Alexandria,47889
1009,Chesterfield,47864
1010,Barnstable,47821
1011,Salina,47813
1012,Lawrence,47809
1013,Bel Air South,47709
1014,Pearl City,47698
1015,Euclid,47676
1016,Roseville,47637
1017,Texas City,47618
1018,Wauwatosa,47614
1019,Florin,47513
1020,Twin Falls,47468
1021,Glenview,47446
1022,East Providence,47408
1023,Palm Springs,47371
1024,San Luis Obispo,47339
1025,Methuen,47255
1026,Mission District,47234
1027,Country Club,47105
1028,Gwynn Oak,47092
1029,Madison,46962
1030,Jeffersonville,46960
1031,San Jacinto,46951
1032,Mentor,46901
1033,Mansfield,46830
1034,Hattiesburg,46805
1035,Draper,46774
1036,Middletown,46756
1037,Wylie,46708
1038,Columbus,46690
1039,Laguna,46621
1040,Smyrna,46607
1041,Charlottesville,46597
1042,Lincoln,46474
1043,Lacey,46409
1044,Littleton,46368
1045,Beavercreek,46277
1046,Kannapolis,46144
1047,Everett,46050
1048,Binghamton,46032
1049,Cypress,46025
1050,Elmhurst,45957
1051,Hell's Kitchen,45884
1052,Auburn Gresham,45842
1053,City of Sammamish,45780
1054,Antelope,45770
1055,Keller,45758
1056,Biloxi,45637
1057,Apex,45585
1058,West Lafayette,45550
1059,Titusville,45393
1060,Altoona,45344
1061,Newark,45336
1062,Saint Louis Park,45250
1063,Enfield,45212
1064,Dublin,45098
1065,Tuckahoe,44990
1066,Potomac,44965
1067,Cleveland Heights,44962
1068,Sayreville,44920
1069,Cutler Bay,44865
1070,Hackensack,44834
1071,Pine Bluff,44772
1072,West Seneca,44711
1073,Strongsville,44668
1074,Coachella,44635
1075,Penn Hills,44610
1076,Encino,44581
1077,Bentonville,44499
1078,Fort Pierce,44484
1079,Bridgewater,44464
1080,Danville,44400
1081,Oakland Park,44319
1082,Attleboro,44284
1083,Severn,44231
1084,Blacksburg,44215
1085,Haltom City,44206
1086,Brighton Park,44202
1087,Lompoc,44164
1088,Wesley Chapel,44092
1089,Urbandale,44062
1090,York,43992
1091,North Miami Beach,43971
1092,El Centro,43956
1093,Rego Park,43925
1094,Cleveland,43898
1095,Echo Park,43832
1096,North Bethesda,43828
1097,Beaumont,43811
1098,Lombard,43797
1099,Bountiful,43784
1100,North Lauderdale,43703
1101,Burleson,43625
1102,Ocoee,43608
1103,Oro Valley,43565
1104,Ashburn,43511
1105,Augusta,43459
1106,Bozeman,43405
1107,Sierra Vista,43355
1108,Freeport,43334
1109,Pittsfield,43303
1110,Hilo,43263
1111,West Babylon,43213
1112,DeKalb,43211
1113,San Bruno,43185
1114,Jefferson City,43169
1115,Altamonte Springs,43159
1116,Bell Gardens,43106
1117,Schertz,43091
1118,Morgan Hill,42948
1119,Bothell,42939
1120,Fond du Lac,42933
1121,Sicklerville,42891
1122,Sayreville Junction,42890
1123,Farmington,42871
1124,Salem,42869
1125,Arlington,42844
1126,La Jolla,42808
1127,Altadena,42777
1128,Fairfield,42767
1129,Ashburn,42752
1130,Rancho Palos Verdes,42732
1131,North Highlands,42694
1132,Moline,42681
1133,Concord,42620
1134,East Concord,42605
1135,Henrietta,42581
1136,Rockwall,42566
1137,Plainfield,42527
1138,Burlington,42452
1139,Rohnert Park,42407
1140,Urbana,42311
1141,Southglenn,42268
1142,Midland,42200
1143,Prescott Valley,42197
1144,State College,42161
1145,Kearny,42137
1146,El Dorado Hills,42108
1147,Danville,42082
1148,Belleville,42034
1149,Linden,42021
1150,Moorhead,42005
1151,Woodside,41981
1152,Brea,41944
1153,Riverton,41900
1154,Prescott,41899
1155,Mount Laurel,41864
1156,The Colony,41779
1157,Manassas,41764
1158,Brentwood,41763
1159,Westfield,41690
1160,Hutchinson,41569
1161,Leominster,41569
1162,Catonsville,41567
1163,Hicksville,41547
1164,Bartlett,41545
1165,Buffalo Grove,41496
1166,Woonsocket,41475
1167,West Hills,41426
1168,Edmonds,41375
1169,Marana,41315
1170,Shelton,41296
1171,Chatsworth,41255
1172,Cedar Falls,41255
1173,Gage Park,41202
1174,Beverly,41186
1175,University,41163
1176,Coppell,41159
1177,Findlay,41149
1178,Campbell,41117
1179,Lake Ridge,41058
1180,Burke,41055
1181,Mankato,41044
1182,Annandale,41008
1183,Covington,40997
1184,New City,40997
1185,Morris Heights,40982
1186,Peachtree Corners,40978
1187,South Valley,40976
1188,Ormond Beach,40970
1189,Carrollwood Village,40949
1190,Huntsville,40938
1191,Venice,40885
1192,Sumter,40816
1193,Quincy,40780
1194,Wilkes-Barre,40780
1195,Lincoln Square,40761
1196,La Puente,40745
1197,Holyoke,40684
1198,Sherman,40667
1199,Goose Creek,40633
1200,Maplewood,40567
1201,Streamwood,40554
1202,Fitchburg,40545
1203,Hilton Head Island,40512
1204,La Quinta,40476
1205,North Atlanta,40456
1206,Crystal Lake,40448
1207,Hagerstown,40432
1208,San Gabriel,40424
1209,Hickory,40374
1210,Beverly Cove,40365
1211,Winter Garden,40356
1212,Carol Stream,40356
1213,Warren,40245
1214,Marlboro,40191
1215,Teaneck,40078
1216,Calexico,40053
1217,Florence,40026
1218,St. Johns,40000
1219,Shakopee,39981
1220,Billerica,39904
1221,Norwich,39899
1222,Amherst,39833
1223,Duncanville,39826
1224,New Berlin,39825
1225,Marlborough,39818
1226,Oakley,39813
1227,Lancaster,39766
1228,Avondale,39721
1229,Romeoville,39719
1230,Culver City,39717
1231,Montclair,39701
1232,Meridian,39661
1233,Puyallup,39659
1234,Woburn,39555
1235,Bremerton,39520
1236,Hallandale Beach,39488
1237,Clovis,39480
1238,Annapolis,39474
1239,Weslaco,39474
1240,Cape Girardeau,39462
1241,Bullhead City,39445
1242,North Fort Myers,39407
1243,Chelsea,39398
1244,Grove City,39388
1245,Essex,39262
1246,Atlantic City,39260
1247,Pacifica,39260
1248,Germantown,39240
1249,Northglenn,39197
1250,Far Rockaway,39189
1251,Kensington,39120
1252,Coram,39113
